# Oscilloscope Data

# Seconds	force_sensor_L.filtered_adc
19.309	32765
19.319	32765
19.329	32767
19.339	32770
19.349	32776
19.359	32785
19.369	32785
19.379	32782
19.389	32776
19.399	32793
19.409	32807
19.419	32836
19.429	32863
19.439	32902
19.449	32926
19.459	32944
19.469	32960
19.479	32994
19.489	33016
19.499	33041
19.509	33066
19.519	33093
19.529	33105
19.539	33090
19.549	33137
19.559	33126
19.569	33121
19.579	33122
19.589	33115
19.599	33108
19.609	33111
19.619	33113
19.629	33093
19.639	33083
19.649	33077
19.659	33088
19.669	33108
19.679	33108
19.689	33102
19.699	33094
19.709	33097
19.719	33102
19.729	33122
19.739	33138
19.749	33161
19.759	33174
19.769	33196
19.779	33211
19.790	33219
19.799	33223
19.810	33222
19.819	33234
19.830	33232
19.840	33228
19.849	33211
19.859	33183
19.869	33166
19.879	33161
19.889	33166
